Prey,Predator,Time
20.0,20.0,1.0
24.428055175791343,13.406401285365598,2.0
29.836493977273577,8.986579647734839,3.0
36.44237603681656,6.023884439531957,4.0
44.51081860765234,4.037930455290645,5.0
54.36563662255338,2.7067056734370407,6.0
66.40233852843767,1.8143590367123361,7.0
81.10399942388092,1.2162012586189082,8.0
99.06064859521922,0.8152440863548611,9.0
120.99294942244916,0.5464744589793576,10.0
147.78112214849662,0.3663127895178328,11.0
180.50027020225414,0.24554680844546603,12.0
220.4635278882128,0.16459495232920687,13.0
269.27476105908784,0.11033129888620849,14.0
328.8929358871062,0.07395728294300402,15.0
401.71073906671876,0.04957505064301435,16.0
490.6506047559232,0.03323115225891587,17.0
599.2820020419849,0.022275508526034306,18.0
731.964690333754,0.014931720506201215,19.0
894.0236918012906,0.010009032042338113,20.0
1091.9630032118234,0.006709255155153889,21.0
1333.7266241579416,0.00449734843811052,22.0
1629.017377654407,0.003014662944349012,23.0
1989.686318495621,0.0020207890939692975,24.0
2430.208358913633,0.0013545757200210823,25.0
2968.26320210217,0.0009079987593873947,26.0
3625.4448779145337,0.0006086493773160624,27.0
4428.128391120285,0.00040798970155507,28.0
5408.528250579914,0.00027348356644184464,29.0
6605.991350548302,0.00018332142698270575,30.0
8068.576078963738,0.0001228843006665305,31.0
9854.981057950574,8.237195315210195e-05,32.0
12036.90106341403,5.521551569932123e-05,33.0
14701.904175657692,3.701195963793427e-05,34.0
17956.94633495324,2.4809932115278947e-05,35.0
21932.663866599985,1.6630546508049557e-05,36.0
26788.616218217474,1.1147819922695972e-05,37.0
32719.68985195665,7.472571848253387e-06,38.0
39963.919592519174,5.0090309986827075e-06,39.0
48812.041791983895,3.357626020890757e-06,40.0
59619.16265151875,2.2506856624781435e-06,41.0
72819.00996212257,1.5086818365364188e-06,42.0
88941.33997238363,1.0112963460406468e-06,43.0
108633.19833953737,6.778981778439846e-07,44.0
132684.8884721545,4.543891274344528e-07,45.0
162061.6893315296,3.046053305074655e-07,46.0
197942.59513915787,2.0416614985526787e-07,47.0
241767.6324972961,1.3687886518704817e-07,48.0
295295.65404805494,9.172676561592605e-08,49.0
360674.9276408211,6.150664785993113e-08,50.0
440529.35319586284,4.121012855686755e-08,51.0
538063.7688737009,2.7646232734911007e-08,52.0
657192.5733511965,1.851292566011985e-08,53.0
802696.8246808534,1.2422037203203056e-08,54.0
980416.1195850844,8.314067563994806e-09,55.0
1197482.9566077655,5.585773174120392e-09,56.0
1462608.990508075,3.7375859293681084e-09,57.0
1786434.6617267411,2.5079558614494527e-09,58.0
2181956.2319007767,1.6775704753880531e-09,59.0
2665047.3685852005,1.1258827462092594e-09,60.0
3255096.216638496,7.582012126844608e-10,61.0
3975783.5119012366,5.038567744795137e-10,62.0
4856032.9668365605,3.413242906610794e-10,63.0
5931172.078583901,2.2264470880920603e-10,64.0
7244349.958432895,1.573235226589014e-10,65.0
8848269.053534906,9.871011177719032e-11,66.0
10807300.270372393,7.273503374049876e-11,67.0
13200066.400506388,4.062683772893502e-11,68.0
16122597.560118891,3.4592704025724765e-11,69.0
19692185.203103084,1.7778956913876515e-11,70.0
24052089.417723104,1.764552925847909e-11,71.0
29377288.44643686,5.9697171008639785e-12,72.0
35881501.24958671,7.785804944095337e-12,73.0
43825764.76001896,2.8145893154858502e-12,74.0
53528910.170363694,4.721304305895265e-12,75.0
65380358.72556094,1.2047530663912715e-12,76.0
79855750.73279783,8.432851698154607e-13,77.0
97536034.57370538,9.427708489735005e-13,78.0
119130782.12277044,4.817494744319129e-13,79.0
145506666.31070346,1.5855197688433559e-12,80.0
177722244.13776147,-1.1522451589585228e-12,81.0
217070440.01310018,1.1264728539605462e-12,82.0
265130435.19806832,-1.1992645753415229e-12,83.0
323831045.8001027,1.885272498436145e-12,84.0
395528133.81087136,-1.3510031445267123e-12,85.0
483099155.4397652,1.142235797832924e-12,86.0
590058643.2453785,-1.5016720466029703e-12,87.0
720699256.4877713,1.3993812715068861e-12,88.0
880264062.5833905,-8.051947342442222e-13,89.0
1075156958.140435,7.702526454467361e-13,90.0
1313199679.2727058,-9.985349235512531e-13,91.0
1603945715.02389,5.314986075153111e-13,92.0
1959063726.7979178,-1.2989655200690476e-13,93.0
2392805848.69949,2.4651127569966773e-13,94.0
2922579674.7108173,-2.4466903972566793e-13,95.0
3569646886.115426,-2.1255584811639472e-13,96.0
4359976567.028485,3.247107447982252e-13,97.0
5325287425.450784,-1.7694806703451946e-13,98.0
6504320774.532773,3.330211188818736e-13,99.0
7944395357.160003,-5.643724509112929e-13,100.0
